"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"深圳寰映影城（福田中洲湾店）","18.290
16.990","9.390
9.068","171.7431
154.0653","224"
"深圳寰映影城（深圳湾睿印店）","22.260
22.000","11.620
？","258.6612
？","396"
"深圳寰映影城（坂田万科广场店）","15.621 ","7.707 ","120.3910","269"
"深圳寰映影城（福田中航城君尚店）","19.730
19.320
18.558","10.520
9.950
9.767","207.5596
192.2340
181.2559","288"
"深圳万达影城（海雅广场店）","17.870
17.550","9.089
9.090","162.4204
159.5295","302"
"深圳寰映影城（宝安大悦城店）","18.480 ","9.750 ","180.1800","242"
"深圳金逸影城（卓悦汇IMAX店) 
原深圳橙天嘉禾影城（卓悦汇店) ","24.440 ","12.890 ","315.0316","500"
"深圳寰映影城（怀德万象汇店）","19.100 ","9.940 ","189.9534","232"
"深圳金逸影城（光明大仟里IMAX店）","19.965
19.310","11.213
10.250","223.8675
197.8275","341
334"
"惠州佳兆业国际影城
原惠州凯狮国际影城","21.259 ","11.433 ","243.0541","555"
"惠州万达影城（大亚湾万达广场店）","21.000 ","10.900 ","228.9000","391"
"惠州万达影城（金山湖店) ","21.280 ","11.090 ","235.9952","198"
"惠州万达影城（港惠激光IMAX店）","23.220 ","12.050 ","279.8010","409"
"佛山金逸影城（鹏瑞利IMAX店）","19.406 ","10.498 ","203.7240","332"
"佛山万达影城（南海万达广场店）","22.240
20.988","11.620
11.133","258.4288","409"
"佛山万达影城（三水万达广场店）","21.220 ","11.270 ","239.1494","352"
"佛山万达影城（越秀悦汇广场店）","18.490 ","9.980 ","184.5302","229"
"佛山金逸影城（顺德彩虹IMAX店)","25.960
24.044","13.650
12.519","354.3540
301.0070","428"
"佛山万达影城（北滘悦然广场店)","21.430
20.501","11.630
10.435","249.2309
213.9280","259"
"佛山CGV影城（顺德海骏达店)","21.820
21.125","11.480
11.061","250.4936
233.6640","316"
"中山金逸影城（远洋城IMAX店）","23.846 ","12.478 ","297.5503","480"
"中山金逸影城（樱花里IMAX店)","25.180
23.295","13.360
12.418","336.4048
289.2773","385"
"江门万达影城（新会IMAX店) ","19.900 ","11.150 ","221.8850","350"
"湛江中影星美影城IMAX","21.143 ","11.273 ","238.3450","472
390"
"湛江万达影城（万达广场店)","24.313 ","12.212 ","296.9103","332"
"湛江金逸影城（光美鹰展IMAX店）","17.028 ","9.193 ","156.5384","317"
"珠海幸福蓝海国际影城（扬名IMAX店）","19.650
16.983","9.740
9.056","191.3910
153.7980","255"
"珠海幸福蓝海国际影城（金湾IMAX激光店）","22.080
20.703","11.550
10.896","255.0240
225.5798 ","258"
"珠海CGV影城（环宇城店）","19.280
18.868","9.950
9.095","191.8360
171.6044","358"
